"Annotations";"Received in Downtime";"Severity";"Time Created (Europe/Madrid)";"Assigned User";"Type";"Duplicate Count";"Node";"Category";"Responsable";"Instrucción";"Application";"Object";"Title";"Related CI"
"TRUE";"FALSE";"Major";"2021-05-26T22:30:24.000+0200";"Francisco José Pulido Ruiz";"AUTO";"181";"iv1dl0024.itg.mercadona.com";"OS";"";"";"Sistema";"/usr/sbin/xinetd:";"Proceso /usr/sbin/xinetd: no se esta ejecutando ( Total 1 Parametro )";"iv1dl0024.itg.mercadona.com"
"TRUE";"FALSE";"Critical";"2021-05-26T15:49:51.000+0200";"Francisco José Pulido Ruiz";"AUTO";"262";"iv1il0125.itg.mercadona.com";"Almacenamiento";"";"";"Sistema";"FileSystemSpace:/home";"Uso de /home al 94.560000 (Umbral: 90)";"iv1il0125.itg.mercadona.com"
"TRUE";"FALSE";"Critical";"2021-05-27T08:10:23.000+0200";"agarcsim";"AUTO";"163";"abswmsvc04.abwmsdom.local";"Almacen_Automatico";"TI Central";"AP-A4100";"PSSM volume calculation";"bvolopmd";"[WINDOWS] El Proceso bvolopmd no esta corriendo";"abswmsvc04.abwmsdom.local"
"FALSE";"FALSE";"Minor";"2021-05-16T02:02:29.000+0200";"";"";"3251";"pvviw0083.grabadona.net";"Telefonia_IP_ADM";"";"";"Content Store";"Traps Grabadora IP";"Remaining free space has reached 4% of total pre-allocated space (13.113 GB of 13.668 GB pre-allocated space) at 27 May 2021 11:39:41:757.
Alarm Raised by BPMainDB.
Increase the pre-allocated size of the database or configure purger to delete more data";"pvviw0083.grabadona.net"
"FALSE";"FALSE";"Normal";"2021-05-27T13:39:42.000+0200";"";"";"0";"pvvgo0015.ofidona.net";"Virtualizacion_ADM";"";"";"vmware";"";"(Sin Formato): ""_OTA_Caida_de_puerto_de_red_fisico_en_host - Event: Restored uplink redundancy to portgroups (27056976)
Summary: Uplink redundancy restored on virtual switch ""vSwitch0"", portgroups: ""Management Network"". Physical NIC vmnic1 is up.
Date: 05/27/2021 11:39:36 AM
Host: albesx03.alb.mercadona.es
Resource pool: Albalat-Cluster
Data center: Oficinas
Arguments:
    eventTypeId = esx.clear.net.redundancy.restored
    objectId = host-397014
    objectName = albesx03.alb.mercadona.es
    1 = ""vSwitch0""
    2 = ""Management Network""
    3 = vmnic1
"" - [
[1] .1.3.6.1.4.1.6876.4.3.308.0 (Integer): 2 
[2] .1.3.6.1.4.1.6876.4.3.304.0 (OctetString): Critical 
[3] .1.3.6.1.4.1.6876.4.3.305.0 (OctetString): Normal 
[4] .1.3.6.1.4.1.6876.4.3.306.0 (OctetString): _OTA_Caida_de_puerto_de_red_fisico_en_host - Event: Restored uplink redundancy to portgroups (27056976)
Summary: Uplink redundancy restored on virtual switch ""vSwitch0"", portgroups: ""Management Network"". Physical NIC vmnic1 is up.
Date: 05/27/2021 11:39:36 AM
Host: albesx03.alb.mercadona.es
Resource pool: Albalat-Cluster
Data center: Oficinas
Arguments:
    eventTypeId = esx.clear.net.redundancy.restored
    objectId = host-397014
    objectName = albesx03.alb.mercadona.es
    1 = ""vSwitch0""
    2 = ""Management Network""
    3 = vmnic1
 
[5] .1.3.6.1.4.1.6876.4.3.307.0 (OctetString): albesx03.alb.mercadona.es ]";"pvvgo0015.ofidona.net"
"FALSE";"FALSE";"Warning";"2021-05-26T23:12:22.000+0200";"";"AUTO";"743";"albesx03.alb.mercadona.es";"Virtualizacion_ADM";"";"";"vmware";"";"""_OTA_Caida_de_puerto_de_red_fisico_en_host - Event: Lost Network Redundancy (27056977)
Summary: Lost uplink redundancy on virtual switch ""vSwitch0"". Physical NIC vmnic1 is down. Affected portgroups:""Management Network"".
Date: 05/27/2021 11:39:37 AM
Host: albesx03.alb.mercadona.es
Resource pool: Albalat-Cluster
Data center: Oficinas
Arguments:
    eventTypeId = esx.problem.net.redundancy.lost
    objectId = host-397014
    objectName = albesx03.alb.mercadona.es
    1 = ""vSwitch0""
    2 = vmnic1
    3 = ""Management Network""
"" - [
[1] .1.3.6.1.4.1.6876.4.3.308.0 (Integer): 2 
[2] .1.3.6.1.4.1.6876.4.3.304.0 (OctetString): Normal 
[3] .1.3.6.1.4.1.6876.4.3.305.0 (OctetString): Critical 
[4] .1.3.6.1.4.1.6876.4.3.306.0 (OctetString): _OTA_Caida_de_puerto_de_red_fisico_en_host - Event: Lost Network Redundancy (27056977)
Summary: Lost uplink redundancy on virtual switch ""vSwitch0"". Physical NIC vmnic1 is down. Affected portgroups:""Management Network"".
Date: 05/27/2021 11:39:37 AM
Host: albesx03.alb.mercadona.es
Resource pool: Albalat-Cluster
Data center: Oficinas
Arguments:
    eventTypeId = esx.problem.net.redundancy.lost
    objectId = host-397014
    objectName = albesx03.alb.mercadona.es
    1 = ""vSwitch0""
    2 = vmnic1
    3 = ""Management Network""
 
[5] .1.3.6.1.4.1.6876.4.3.307.0 (OctetString): albesx03.alb.mercadona.es ]";"albesx03.alb.mercadona.es"
"FALSE";"FALSE";"Minor";"2021-05-24T09:30:31.000+0200";"";"MANUAL";"6";"pv1iw0007.ofidona.net";"ADFS_ADM";"";"";"ADFS_ADM";"Token issuance";"LDAP Lookup Error";"pv1iw0007.ofidona.net"
"FALSE";"FALSE";"Minor";"2021-05-08T09:45:11.000+0200";"";"MANUAL";"2045";"tvviw0089.preproduccion.net";"Windows_ADM";"";"";"Windows_ADM";"tvviw0089.preproduccion.net";"Operations Manager Failed to convert performance data";"tvviw0089.preproduccion.net"
"FALSE";"FALSE";"Major";"2021-05-27T09:39:14.000+0200";"";"AUTO";"48";"tvvil0230.ccv.mercadona.com";"Almacenamiento";"";"";"Sistema";"FileSystemSpace:/home";"Uso de /home al 81.310000 (Umbral: 80)";"tvvil0230.ccv.mercadona.com"
"FALSE";"FALSE";"Critical";"2021-05-26T17:29:10.000+0200";"";"AUTO";"242";"labdb01.labalm.mercadona.es";"Almacenamiento_ADM";"";"";"System";"FileSystemSpace:/opt/oracle/cc";"Uso de /opt/oracle/cc al 99.650000 (Umbral: 90)";"labdb01.labalm.mercadona.es"
